Lenguas	loss of proto kw	final vowel drop in uxa 'sleep'	huniki > hono 'peccari'	riru > riri 'might monkey'	kwe 'big'	kuka > kuku 'father in law'	ia 'louse' 	wasin 'grass'	matses 'human'	uinti 'heart'	kueste 'stick'	abu 'sky'	bari 'sun'	wispa 'star'	jame > ime 'night'
Proto-Pano	0	0	0	0	1	0	1	1	0	1	0	0	1	?	0
Kakataibo	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1
Matses	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1
Matis	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1
Kaxarari	1	0	?	?	0	0	1	1	0	1	0	0	1	0	0
Yaminawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Sharanawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Amawaka	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
ShipiboKonibo	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Kapanawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Chakobo	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Iskonawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Poyanawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
KashinawaB	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
Mastanawa	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0
