Tradition	C14Age	Latitude	Longitude	Archaeogical Site	Reference
Caimito	575±105	-8.85	-74.31	TAM-2	Lathrap 1970
Caimito	630±60	-8.85	-74.27	TAM-1	Lathrap 1970
Cumancaya	1495±115	-9.36	-74.44	Shahuaya	Raymond et al. 1975
Cumancaya	1249±51	-10.36	-74.96	Naneini	DeBoer 1974
Cumancaya	1120±100	-9.36	-74.44	Sonochenea	Ziolkowski et al. 1994
Cumancaya	1140±80	-8.86	-74.31	Caimito	Lathrap 1970
Cumancaya	670±120	-7.83	-74.25	Contamanilla	Liu et al. 1986
Pacacocha	1180±105	-8.14	-74.41	Nueva Esperanza	Lathrap 1970
Yarinacocha	1860±110	-8.15	-74.39	Jose's Hill	Lathrap 1970
